Especie;Categoria_Ameaca;Legislacao
Aphelandra espirito-santensis;EN;Portaria MMA N. 148/2022
Aphelandra margaritae;VU;Portaria MMA N. 148/2022
Aphelandra maximiliana;EN;Portaria MMA N. 148/2022
Aphelandra rigida;EN;Portaria MMA N. 148/2022
Aphelandra stephanophysa;VU;Portaria MMA N. 148/2022
Dyschoriste lavandulacea;EN;Portaria MMA N. 148/2022
Dyschoriste smithii;CR;Portaria MMA N. 148/2022
Justicia clausseniana;EN;Portaria MMA N. 148/2022
Justicia genuflexa;VU;Portaria MMA N. 148/2022
Justicia meyeniana;EN;Portaria MMA N. 148/2022
Justicia nervata;EN;Portaria MMA N. 148/2022
Justicia polita;EN;Portaria MMA N. 148/2022
Justicia ramulosa;VU;Portaria MMA N. 148/2022
Justicia tijucensis;VU;Portaria MMA N. 148/2022
Odontonema dissitiflorum;EN;Portaria MMA N. 148/2022
Pachystachys dubiosa;EN;Portaria MMA N. 148/2022
Schaueria paranaensis;EN;Portaria MMA N. 148/2022
Staurogyne brachiata;EN;Portaria MMA N. 148/2022
Staurogyne elegans;VU;Portaria MMA N. 148/2022
Staurogyne euryphylla;EN;Portaria MMA N. 148/2022
Staurogyne itatiaiae;EN;Portaria MMA N. 148/2022
Staurogyne vauthieriana;EN;Portaria MMA N. 148/2022
Staurogyne veronicifolia;EN;Portaria MMA N. 148/2022
Staurogyne warmingiana;EN;Portaria MMA N. 148/2022
Stenandrium hatschbachii;EN;Portaria MMA N. 148/2022
Stenandrium stenophyllum;EN;Portaria MMA N. 148/2022
Kuhlmanniodendron macrocarpum;EN;Portaria MMA N. 148/2022
Sagittaria lancifolia;VU;Portaria MMA N. 148/2022
Alstroemeria amabilis;EN;Portaria MMA N. 148/2022
Alstroemeria brasiliensis;EN;Portaria MMA N. 148/2022
Alstroemeria capixaba;CR;Portaria MMA N. 148/2022
Alstroemeria caryophyllaea;EN;Portaria MMA N. 148/2022
Alstroemeria malmeana;CR;Portaria MMA N. 148/2022
Alstroemeria orchidioides;EN;Portaria MMA N. 148/2022
Alstroemeria penduliflora;EN;Portaria MMA N. 148/2022
Alternanthera hirtula;VU;Portaria MMA N. 148/2022
Alternanthera januarensis;EN;Portaria MMA N. 148/2022
Amaranthus rosengurtii;EN;Portaria MMA N. 148/2022
Froelichiella grisea;EN;Portaria MMA N. 148/2022
Gomphrena centrota;EN;Portaria MMA N. 148/2022
Gomphrena hatschbachiana;EN;Portaria MMA N. 148/2022
Gomphrena nigricans;CR;Portaria MMA N. 148/2022
Gomphrena paranensis;VU;Portaria MMA N. 148/2022
Gomphrena pulchella;EN;Portaria MMA N. 148/2022
Gomphrena regeliana;VU;Portaria MMA N. 148/2022
Pfaffia argyrea;EN;Portaria MMA N. 148/2022
Pfaffia minarum;VU;Portaria MMA N. 148/2022
Quaternella glabratoides;EN;Portaria MMA N. 148/2022
Griffinia aracensis;CR;Portaria MMA N. 148/2022
Griffinia colatinensis;CR;Portaria MMA N. 148/2022
Griffinia espiritensis;EN;Portaria MMA N. 148/2022
Griffinia gardneriana;EN;Portaria MMA N. 148/2022
Griffinia hyacinthina;EN;Portaria MMA N. 148/2022
Griffinia intermedia;EN;Portaria MMA N. 148/2022
